rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
48,"spotify:track:0Q7nzEj102gwTkql3azU8p","Oh Land","Julefeber","Universal Music A/S",20,89,34,"204634"
49,"spotify:track:5humEOJehpAwMJEJmb0JJ2","Nat King Cole","The Christmas Song (Merry Christmas To You)","Capitol Records",19,91,41,"203134"
50,"spotify:track:2p4cYfKQbg8xHXNG4eQaGo","Omar, Mumle","Hele Vejen (feat. Mumle)","WM Denmark",1,24,42,"202527"
51,"spotify:track:3oTuTpF1F3A7rEC6RKsMRz","Dave, Tems","Raindance (feat. Tems)","Neighbourhood",17,27,5,"202223"
52,"spotify:track:4LTUBsLeIn8qcopkFwhwK9","Drengene Fra Angora","Jul i Angora","Playground Music",21,92,55,"199847"
53,"spotify:track:4QOTOTJsJjgrAf0BgnfaRF","Mc Einar","Jul Det' Cool","Sony BMG Music Entertainment",12,93,55,"197900"
54,"spotify:track:1xpHTbZ3NnvTDEXCFcwGWk","Mille","kendt mig en uge","WM Denmark",6,19,36,"196508"
55,"spotify:track:5wAsvoOWg6LzSSmiBQGWKk","D1MA","NATTEN BLIVER MORGEN","7OUMA",8,26,21,"195830"
56,"spotify:track:7fUYUcWy853HS8YJn0b3Sr","The Ronettes","Sleigh Ride","Legacy Recordings",32,106,46,"195136"
57,"spotify:track:4kjOoHroifGNB1BhQEdyce","OLIVVER, Augusta Schackinger","Ødelagt Byen (feat. Augusta Schackinger)","Immobiliare Records",1,25,15,"194091"
58,"spotify:track:3qCeq0rWK67SoBDgFd2sId","José Feliciano","Feliz Navidad","RCA Records Label",26,98,48,"188163"
59,"spotify:track:6vdsc40TnfCdZsWj7GecQV","Mumle","Det Modsatte","Capitol Records",6,33,103,"184563"
