rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
48,"spotify:track:7iZHA1WIBbDER2YvheX0kP","GOLF","Juniregnet","Distortion Label",5,18,6,"178764"
49,"spotify:track:3bH2Eu9A9ymI4UnGHRmoXg","Ed Sheeran, Elton John","Merry Christmas","Atlantic Records UK",10,95,27,"173686"
50,"spotify:track:6oJLgaS6Py1tSKAJTKSe5K","Eva Weel Skram","Falle til ro (From the Original Netflix Series ""Home For Christmas"")","WM Norway",27,94,31,"170576"
51,"spotify:track:3cZajhyr8LmtPfHZ9296tj","Disco Lines, Tinashe","No Broke Boys","Nice Life/Atlantic",25,33,22,"169759"
52,"spotify:track:47G1D6ZRAkj37PsONIqs8h","Maria Mena, Trygve Skaug","Jula Hjemme (feat. Trygve Skaug)","Columbia",20,80,30,"158853"
53,"spotify:track:7AxXJXqJOMRqkgZxvG3r6E","Tate McRae","TRYING ON SHOES","RCA Records Label",53,-1,1,"157622"
54,"spotify:track:3nAp4IvdMPPWEH9uuXFFV5","Kelly Clarkson","Underneath the Tree","RCA Records Label",30,75,40,"155488"
55,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",24,34,9,"153995"
56,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Play It Again Sam",12,39,324,"151615"
57,"spotify:track:53HlIaKfn1wF5BfqwQ5hhV","Ari Bajgora","Hvis jeg kunne fly","Distortion Label",10,37,27,"150102"
