rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
102,"spotify:track:7KT0MWuO7tQAdhqDXVjaHG","Oslo Gospel Choir, Maria Haukaas Mittet","En stjerne skinner i natt","Universal Music AS",47,-1,33,"105199"
103,"spotify:track:6u6YMR8WMz9PixSnO5w2US","Synne Vo","Ser du den såmmå himmelen","WM Norway",47,-1,13,"104662"
104,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",5,76,114,"104439"
105,"spotify:track:2ipIPsgrgd0j2beDf4Ki70","Benson Boone","Mystical Magical","Night Street Records, Inc./Warner Records Inc.",40,54,31,"104051"
106,"spotify:track:5humEOJehpAwMJEJmb0JJ2","Nat King Cole","The Christmas Song (Merry Christmas To You)","Capitol Records",38,180,41,"103744"
107,"spotify:track:3O1hAitk6yz7DtOCHswVk3","Ari Bajgora","Alt du trenger","Distortion Label",3,93,27,"103715"
108,"spotify:track:7gKxCvTDWwV9wBhdeBbr3l","Olivia Dean","Nice To Each Other","PLG - Capitol",57,97,15,"103240"
109,"spotify:track:1v0Erq90AMsmP8C0vJk4q7","Ruben","Du lyg","WM Norway",17,73,11,"103167"
110,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",89,89,3,"103038"
111,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",2,83,58,"101790"
112,"spotify:track:5Nsnr6aTiNzECvns3OFcFx","Kurt Nilsen, The Norwegian Radio Orchestra","Gje Meg Handa Di Venn","Lord Records",34,-1,45,"101258"
113,"spotify:track:7jxVfKAl4TTvnWPQMCuFz9","Tobias Sten","Tretten tapte anrop","Universal Music AS",7,72,15,"100882"
114,"spotify:track:2ukkJzjQruTQkyNXYXN5Qd","Breizaas, Grøftefyll","Liggi","Gvarv Music Factory",79,121,9,"100851"
115,"spotify:track:7px3lmdf4nzNEMt6zaQ5yJ","Marstein, Annika","SAMMEN","Universal Music AS",1,98,57,"100779"
116,"spotify:track:7JTcRjQ2dXXuCWCBWQdrvF","Emma Steinbakken","Hjemme for meg","Columbia",28,-1,15,"99490"
117,"spotify:track:1SBo8LdLGOieucdStHz6iV","Sigrid","Home To You (This Christmas)","Universal-Island Records Ltd.",19,-1,24,"99096"
118,"spotify:track:23ZdNaFSfH7VdSVU4U0Agb","SIENNA SPIRO","You Stole The Show","Capitol Records",88,101,3,"98378"
119,"spotify:track:789CxjEOtO76BVD1A9yJQH","Rihanna, Mikky Ekko","Stay","Def Jam Recordings",63,112,116,"98307"
120,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",18,133,80,"97905"
121,"spotify:track:2IRqZ7br71fQXUzGMtWOeC","Emma Steinbakken","En stjerne skinner i natt","Emma Steinbakken",87,-1,6,"97804"
122,"spotify:track:7LhxOhnAILyoCEqxtsNgK3","ULD","Vondt å vende","Universal Music AS Distributed Labels",29,92,7,"97792"
123,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",16,137,42,"97783"
124,"spotify:track:72gv4zhNvRVdQA0eOenCal","Clean Bandit, Zara Larsson","Symphony (feat. Zara Larsson)","Atlantic Records UK",1,-1,71,"97533"
125,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",13,85,39,"97141"
126,"spotify:track:3788e1nhkkeYtzydVHHDVb","SKAAR","Se ilden lyse","WM Norway",57,-1,11,"95141"
127,"spotify:track:541sN2qNfIlllGn9nGOQoC","Tate McRae","Revolving door","RCA Records Label",13,174,32,"94787"
128,"spotify:track:0OhDvsXxbZaUaPzSqLNHJq","Hagle, Staysman, Sandra Lyng","Raggarnissen","Universal Music AS Distributed Labels",16,-1,10,"94514"
129,"spotify:track:4ThbwJaIWVxXZ1qJaHQBCz","Cody Johnson","Travelin' Soldier","CoJo Music/Warner Records Nashville",51,65,3,"92330"
130,"spotify:track:7fIIi2KQB2AUqRgmpreKYj","BigXthaPlug, Post Malone","Cold (feat. Post Malone)","BigXthaPlug under exclusive license to UnitedMasters LLC",130,-1,1,"92105"
