rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
77,"spotify:track:5ooqCHqs4axSJbWqIHfKfB","HIM","Join Me - Razorblade Mix","Sony Music/Supersonic-GUN",72,72,13,"86554"
78,"spotify:track:4zqPlhD4SzBxVPPS2ke9n7","Lauri Haav","People's Champion (Vain elämää kausi 16)","PME Records",2,60,11,"85202"
79,"spotify:track:7vQbuQcyTflfCIOu3Uzzya","Bobby Helms","Jingle Bell Rock","Geffen",8,94,33,"84976"
80,"spotify:track:3TNTIJjB4CxaXOk9eLrj9z","ELLIMEI","Susta löysin kodin","WM Finland",35,64,5,"84573"
81,"spotify:track:2fyibnOTk1DSl4GNFGOg0R","ibe","Marraskuu","WM Finland",1,71,49,"82456"
82,"spotify:track:5uRLHI5PO8ou0f7cvfH7Y6","ABREU, Bizi","Äiti Teresa (feat. Bizi)","WM Finland",1,79,26,"81893"
83,"spotify:track:0bDl2EdfvCosADB8Vya5Gc","VIIVI","Sun katu (Vain elämää kausi 16)","WM Finland",14,57,5,"81579"
84,"spotify:track:3nAp4IvdMPPWEH9uuXFFV5","Kelly Clarkson","Underneath the Tree","RCA Records Label",16,107,30,"81368"
85,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",39,85,36,"81110"
86,"spotify:track:7fdNCtxfZArtOZK3hLqqm3","Turisti","Taikuri","WM Finland",1,81,62,"80993"
87,"spotify:track:2EWr723Hah4EUGjPU5kDXf","Korelon, Sliki","Ylibuukattu","Korelon",2,98,29,"79712"
88,"spotify:track:6POXTrTpf5usT9rrbU3L0r","WILLEM, Isac Elliot","Sua Ei Oo - WILLEM Remix","WM Finland",16,76,6,"79012"
89,"spotify:track:2Ug8JxGX2SIRfsYogycZJc","Mirella","Seireeni","Universal Music Oy",4,141,53,"78188"
90,"spotify:track:4rrB1Jo95XOFYjZ7jMm633","Jaakko Kulta","Älä pyydä mua päättää","WM Finland",26,67,3,"77615"
91,"spotify:track:1qRV1dKLOfH1s00b9J2LUQ","Zara Larsson","Midnight Sun","Sommer House/Epic",91,195,2,"76630"
92,"spotify:track:5MJTKvptnVJDT65y75wekm","Johannes Brotherus, Behm, KUUMAA","Autiomaa - Vain elämää kausi 16","Universal Music Oy",4,77,11,"76418"
93,"spotify:track:5dSmtvguWDB0oXMFUbUyYK","Isac Elliot, Averagekidluke, MD$","Italia","Universal Music Oy",2,84,79,"76043"
94,"spotify:track:5x3N98t0SuJBpJJXJQEEum","Turisti","Don Julio","WM Finland",5,91,22,"75465"
95,"spotify:track:7aVkuRvQhe1YmNhrpwDK75","OLGA","NRO1 BÄMÄ","PME Records in co-operation with Cyber Recordings",18,87,28,"75114"
96,"spotify:track:62GkEOkhnNm01x4nlshO7l","Lauri Haav","Kunnes sammutaan (Vain elämää kausi 16)","PME Records",6,61,5,"74992"
97,"spotify:track:4isqhUp7UWzvZ89Kr3RAs5","Maustetytöt","Jos mulla ei ois sua, mulla ei ois mitään","Is This Art!",63,-1,7,"74228"
98,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",30,110,42,"73947"
99,"spotify:track:2ygbM2P7Fjtdy50ErK9Vw9","william, Bizi","Mitä vaan","WM Finland",6,80,10,"73440"
100,"spotify:track:6eIzQCYExfnNeM7KOlE3lE","KAJ","Bara Bada Bastu","WM Sweden",1,103,40,"73235"
101,"spotify:track:2uFaJJtFpPDc5Pa95XzTvg","Dean Martin","Let It Snow! Let It Snow! Let It Snow!","Capitol Records",12,133,31,"72846"
102,"spotify:track:31k2GXJC7k1DZeT6BB2WxB","Jore & Zpoppa, DAVI, Turisti","Shutdown","WM Finland",13,100,20,"72148"
103,"spotify:track:2Kouu3rnDZ5ZVqWtPEAsGo","Vesa-Matti Loiri","Sydämeeni joulun teen","WEA",10,170,41,"71757"
104,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",101,109,14,"71577"
